player_id,names,role,batting_style,bowling_style,image,batting_last_3_avg,batting_last_5_avg,batting_last_10_avg,batting_last_20_avg,batting_all_matches_avg,bowling_last_3_avg,bowling_last_5_avg,bowling_last_10_avg,bowling_last_20_avg,bowling_all_matches_avg,fielding_last_3_avg,fielding_last_5_avg,fielding_last_10_avg,fielding_last_20_avg,fielding_all_matches_avg
8a6c2263,Alexander Bannerman,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/alec-bannerman.jpg,,,,,,,,,,,,,,,
8a6c2263,Alec Bannerman,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/alec-bannerman.jpg,,,,,,,,,,,,,,,
0d352971,Arthur Langton,Batsman,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c157778/keith-arthurton.jpg,,,,,,,,,,,,,,,
0d352971,Chud Langton,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c157352/chud-langton.jpg,,,,,,,,,,,,,,,
1efb8a28,A Blizzard,Batsman,Left Handed Bat,Left-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c180284/aiden-blizzard.jpg,28.0,21.0,23.571428571428573,23.571428571428573,23.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.142857142857143,5.142857142857143,5.142857142857143
1c7fa06c,Adam Dale,Batsman,Left Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/adam-dale.jpg,,,,,,,,,,,,,,,
62decd8e,Alan Dawson,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c157317/alan-dawson.jpg,,,,,,,,,,,,,,,
e9a870ed,A Evans,,,,,,,,,,,,,,,,,,,
7f74b21d,Stokes,Batting Allrounder,Left Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c351568/ben-stokes.jpg,,,,,,,,,,,,,,,
2b6e6dec,Adam Gilchrist,WK-Batsman,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156206/adam-gilchrist.jpg,58.66666666666666,52.0,33.7,29.0,34.25,12.333333333333334,7.4,3.7,1.85,0.4625,8.0,6.4,7.8,7.9,6.7
2b6e6dec,A Gilchrist,WK-Batsman,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156206/adam-gilchrist.jpg,58.66666666666666,52.0,33.7,29.0,34.25,12.333333333333334,7.4,3.7,1.85,0.4625,8.0,6.4,7.8,7.9,6.7
e249fdaa,Akash Chopra,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/aakash-chopra.jpg,3.6666666666666665,5.4,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,2.8,3.142857142857143,3.142857142857143,3.142857142857143
e249fdaa,AS Chopra,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/aakash-chopra.jpg,3.6666666666666665,5.4,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,2.8,3.142857142857143,3.142857142857143,3.142857142857143
18e6906e,A V Choudhary,Bowler,Right Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/avinov-choudhury.jpg,1.3333333333333333,5.6,5.6,5.6,5.6,44.0,29.8,29.8,29.8,29.8,0.0,0.0,0.0,0.0,0.0
55a6eb86,Andrew Hudson,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c159995/andrew-hudson.jpg,,,,,,,,,,,,,,,
b9964982,Alan Lock,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ian-lock.jpg,,,,,,,,,,,,,,,
b9964982,Charlie Lock,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/charlie-lock.jpg,,,,,,,,,,,,,,,
ac56b5a7,AMC Jayangani,,,,,,,,,,,,,,,,,,,
ac56b5a7,C Athapaththu,Batting Allrounder,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c255074/chamari-athapaththu.jpg,,,,,,,,,,,,,,,
7673c908,Amelia Kerr,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c254907/amelia-kerr.jpg,,,,,,,,,,,,,,,
7673c908,A Kerr,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c254907/amelia-kerr.jpg,,,,,,,,,,,,,,,
45a6cf8a,AB Cloete,,,,,,,,,,,,,,,,,,,
45a6cf8a,Achille Cloete,Bowling Allrounder,Right Handed Bat,Right-arm fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/achille-cloete.jpg,,,,,,,,,,,,,,,
7cef11e4,Archibald MacLaren,Batsman,Right Handed Bat,Right-arm fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/archie-maclaren.jpg,,,,,,,,,,,,,,,
7cef11e4,Archie MacLaren,Batsman,Right Handed Bat,Right-arm fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/archie-maclaren.jpg,,,,,,,,,,,,,,,
6574768e,Arthur Coningham,Batsman,Left Handed Bat,Left-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arthur-coningham.jpg,,,,,,,,,,,,,,,
06face31,Albert Cotter,,,,,,,,,,,,,,,,,,,
06face31,Tibby Cotter,Batsman,Right Handed Bat,Right-arm fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/tibby-cotter.jpg,,,,,,,,,,,,,,,
ff111ad7,Alec Coxon,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/alec-coxon.jpg,,,,,,,,,,,,,,,
749316d2,Adam Parore,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c151776/adam-parore.jpg,,,,,,,,,,,,,,,
ea5a4563,Adriaan Crafford,,,,,,,,,,,,,,,,,,,
96cc6866,Alan Smith,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/alan-smith.jpg,,,,,,,,,,,,,,,
ef08e047,Anthony Pigott,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c158018/tony-pigott.jpg,,,,,,,,,,,,,,,
ef08e047,Tony Pigott,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c158018/tony-pigott.jpg,,,,,,,,,,,,,,,
b552a935,A Thomas,,,,,7.333333333333333,4.4,2.2,1.4,1.4,15.333333333333334,26.6,28.2,29.6,29.6,4.666666666666667,2.8,2.2,2.0,2.0
864c199e,Adam Voges,Batsman,Right Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156065/adam-voges.jpg,23.33333333333333,17.2,24.444444444444443,24.444444444444443,24.444444444444443,0.0,0.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.0,2.4,2.888888888888889,2.888888888888889,2.888888888888889
864c199e,A Voges,Batsman,Right Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156065/adam-voges.jpg,23.33333333333333,17.2,24.444444444444443,24.444444444444443,24.444444444444443,0.0,0.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.0,2.4,2.888888888888889,2.888888888888889,2.888888888888889
7dd70cda,Andrew Waller,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/andy-waller.jpg,,,,,,,,,,,,,,,
7dd70cda,Andy Waller,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/andy-waller.jpg,,,,,,,,,,,,,,,
5b16a806,Akila Dananjaya,Bowler,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c146439/akila-dananjaya.jpg,4.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
5b16a806,MKPAD Perera,,,,,4.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
045fe562,Andrew Curtis,,,,,,,,,,,,,,,,,,,
79004151,A Raja,Bowler,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155930/adeel-raja.jpg,,,,,,,,,,,,,,,
1f77cf82,Anshuman Gaekwad,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156188/anshuman-gaekwad.jpg,,,,,,,,,,,,,,,
